player_id,full_name,sport
8476374,Sean Kuraly,NHL
8476854,Hampus Lindholm,NHL
8477496,Elias Lindholm,NHL
8477507,Nikita Zadorov,NHL
8477956,David Pastrnak,NHL
8478042,Viktor Arvidsson,NHL
8478401,Pavel Zacha,NHL
8479325,Charlie McAvoy,NHL
8479362,Riley Tufte,NHL
8479369,Andrew Peeke,NHL
8479591,Michael Eyssimont,NHL
8479661,Tanner Jeannot,NHL
8479987,Morgan Geekie,NHL
8479999,Casey Mittelstadt,NHL
8480035,Henri Jokiharju,NHL
8480355,Mark Kastelic,NHL
8480828,Michael Callahan,NHL
8480887,Jordan Harris,NHL
8481219,Jonathan Aspirot,NHL
8481599,Victor Soderstrom,NHL
8481712,Matěj  Blümel,NHL
8482177,Marat Khusnutdinov,NHL
8482511,Mason Lohrei,NHL
8482634,Alex Steeves,NHL
8483489,Fraser Minten,NHL
8483505,Matthew Poitras,NHL
8483567,Georgii Merkulov,NHL
8475166,John Tavares,NHL
8475171,Oliver Ekman-Larsson,NHL
8475690,Chris Tanev,NHL
8475714,Calle Jarnkrok,NHL
8476853,Morgan Rielly,NHL
8476872,Scott Laughton,NHL
8476931,Jake McCabe,NHL
8476988,Matt Benning,NHL
8477503,Max Domi,NHL
8477541,Dakota Mermis,NHL
8477939,William Nylander,NHL
8478057,Dakota Joshua,NHL
8478443,Brandon Carlo,NHL
8478462,Nicolas Roy,NHL
8478904,Steven Lorentz,NHL
8479026,Philippe Myers,NHL
8479318,Auston Matthews,NHL
8479442,Troy Stecher,NHL
8481122,Simon Benoit,NHL
8481567,Henry Thrun,NHL
8481582,Nicholas Robertson,NHL
8481711,Matias Maccelli,NHL
8482259,Bobby McMann,NHL
8482720,Matthew Knies,NHL
8483546,Marshall Rifai,NHL
8484158,Easton Cowan,NHL
8484901,Jacob Quillan,NHL
8475413,Justin Dowling,NHL
8475842,Sam Carrick,NHL
8476389,Vincent Trocheck,NHL
8476459,Mika Zibanejad,NHL
8476468,J.T. Miller,NHL
8477320,Anton Blidh,NHL
8477380,Jonny Brodzinski,NHL
8477839,Conor Sheary,NHL
8478840,Will Borgen,NHL
8478882,Vladislav Gavrikov,NHL
8479323,Adam Fox,NHL
8479390,Taylor Raddysh,NHL
8480001,Urho Vaakanainen,NHL
8481525,Matthew Robertson,NHL
8481704,Juuso Parssinen,NHL
8481726,Adam Edstrom,NHL
8482073,Braden Schneider,NHL
8482109,Alexis Lafrenière,NHL
8482132,Brett Berard,NHL
8482157,Will Cuylle,NHL
8482460,Matt Rempe,NHL
8482666,Scott Morrow,NHL
8482747,Brennan Othmann,NHL
8482861,Vincent Iorio,NHL
8482877,Jaroslav Chmelar,NHL
8483690,Noah Laba,NHL
8484210,Gabe Perreault,NHL
8470613,Brent Burns,NHL
8475754,Brock Nelson,NHL
8476312,Josh Manson,NHL
8476391,T.J. Tynan,NHL
8476455,Gabriel Landeskog,NHL
8477476,Artturi Lehkonen,NHL
8477492,Nathan MacKinnon,NHL
8477501,Valeri Nichushkin,NHL
8478038,Devon Toews,NHL
8478109,Victor Olofsson,NHL
8479387,Keaton Middleton,NHL
8479398,Samuel Girard,NHL
8479525,Ross Colton,NHL
8479718,Alex Barré-Boulet,NHL
8480039,Martin Necas,NHL
8480069,Cale Makar,NHL
8480448,Parker Kelly,NHL
8480835,Jack Drury,NHL
8481641,Joel Kiviranta,NHL
8482072,Jack Ahcan,NHL
8482947,Zakhar Bardakov,NHL
8482953,Taylor Makar,NHL
8483039,Tristen Nielsen,NHL
8483930,Ivan Ivan,NHL
8484149,Gavin Brindley,NHL
8484255,Jason Polin,NHL
8484258,Sam Malinski,NHL
