game_id,player_id,team_id,game_date,goals,assists,shots,penalty_minutes,plus_minus
NHL_2024_ANA,8473986,ANA,2026-03-23,11,15,132,36,-3
NHL_2024_ANA,8474590,ANA,2026-03-23,10,37,123,28,12
NHL_2024_ANA,8475184,ANA,2026-03-23,22,22,118,26,-2
NHL_2024_ANA,8475462,ANA,2026-03-23,2,11,60,45,-1
NHL_2024_ANA,8475798,ANA,2026-03-23,14,15,90,18,-11
NHL_2024_ANA,8476885,ANA,2026-03-23,10,22,143,31,5
NHL_2024_ANA,8477527,ANA,2026-03-23,3,11,33,107,0
NHL_2024_ANA,8478366,ANA,2026-03-23,4,4,72,38,-10
NHL_2024_ANA,8478424,ANA,2026-03-23,3,5,37,28,-6
NHL_2024_ANA,8478873,ANA,2026-03-23,16,35,120,12,12
NHL_2024_ANA,8479705,ANA,2026-03-23,2,5,42,59,-1
NHL_2024_ANA,8480068,ANA,2026-03-23,9,22,72,8,11
NHL_2024_ANA,8481563,ANA,2026-03-23,2,10,35,20,-7
NHL_2024_ANA,8481605,ANA,2026-03-23,9,40,133,17,0
NHL_2024_ANA,8481754,ANA,2026-03-23,1,8,31,8,-2
NHL_2024_ANA,8482118,ANA,2026-03-23,1,0,7,4,-3
NHL_2024_ANA,8482178,ANA,2026-03-23,4,8,57,24,-7
NHL_2024_ANA,8482745,ANA,2026-03-23,13,20,121,40,-11
NHL_2024_ANA,8482803,ANA,2026-03-23,7,13,115,32,2
NHL_2024_ANA,8483445,ANA,2026-03-23,36,26,257,26,-2
NHL_2024_ANA,8483490,ANA,2026-03-23,8,12,69,10,-3
NHL_2024_ANA,8484153,ANA,2026-03-23,24,34,150,31,1
NHL_2024_ANA,8484762,ANA,2026-03-23,21,33,169,48,-13
NHL_2024_ANA,8485512,ANA,2026-03-23,2,3,25,12,2
NHL_2024_BOS,8476374,BOS,2026-03-23,5,12,92,41,-5
NHL_2024_BOS,8476854,BOS,2026-03-23,4,18,87,56,-3
NHL_2024_BOS,8477496,BOS,2026-03-23,13,29,94,34,-5
NHL_2024_BOS,8477507,BOS,2026-03-23,2,17,89,134,19
NHL_2024_BOS,8477956,BOS,2026-03-23,28,58,226,60,1
NHL_2024_BOS,8478042,BOS,2026-03-23,19,22,150,22,17
NHL_2024_BOS,8478401,BOS,2026-03-23,23,28,112,28,-1
NHL_2024_BOS,8479325,BOS,2026-03-23,9,44,95,52,8
NHL_2024_BOS,8479362,BOS,2026-03-23,1,0,4,0,-1
NHL_2024_BOS,8479369,BOS,2026-03-23,4,9,68,20,-8
NHL_2024_BOS,8479591,BOS,2026-03-23,8,10,100,31,-4
NHL_2024_BOS,8479661,BOS,2026-03-23,6,15,70,59,-5
NHL_2024_BOS,8479987,BOS,2026-03-23,34,27,158,18,-5
